Tom,Horton
Patti,Hart
Jamie,Dimon
Steve,Cohen
Tim,Cook
Steve,Jobs
Daniel,Doctoroff
Laura,Lang
Andrew,Mason
Jeffrey,Gundlach
Tim,Armstrong
Elon,Musk
Maurice,Taylor
Mark,Benioff
Thomas,Jones
Don,Thompson
Ron,Johnson
Michael,Eisner
Mark,Zuckerberg
Apu,Gupta
Sergio,Marchionne
John,Thain
John,Bilbrey
Myron,Ullman
Ross,Levinsohn
Dick,Fuld
Alan,Mulally
Jeff,Bezos
Tim,Clark
Brady,Dougan
Stephen,Hester
Avishai,Abrahami
Graham,Weston
Joe,Magnacca
Antony,Jenkins
Steve,Ballmer
Brad,Katsuyama
John,Wren
Jonathan,Bush
Mario,Gabelli
Jayshree,Ullal
Robert,Thomas
David,Pyott
Lorenzo,Grabau
Lloyd,Blankfein
Genaro,Garcia
Indra,Nooyi
Javier,Romero
Mark,Fields
James,Mitarotonda
Jonathan,Lu
Bernardo,Hees
Tilman,Fertitta
Mark,Frissora
Jane,Mendillo
Dustin,Moskovitz
Carly,Fiorina
Tony,Posawatz
Glenn,Murphy
Frank,Lavin
Carlos,Rodriguez
Doug,Hodge
Josh,Brown
Sunny,Lee
Martin,Sorrell
Mark,Murray
Marc,Bolland
Ryo,Koyama
Anders,Elgemyr
Igor,Sechin
Harold,Wester
Petter,Havdal
Mark,Tibergien
Daniel,Loeb
Kimberly,Foss
Sascha,Lewis
Leigh,Drogen
Brian,Walsh
Jochen,Duemler
Larry,Fink
Jeremy,Allaire
Ian,Taylor
Marco,Dunand
Mark,Karpeles
Joe,Kaeser
Paul,Browning
Reggie,Agarwall
Laurent,Potdevin
Kyle,Vucko
Samantha,Shih
Mary,Barra
Walt,Bettinger
Eric,Schmidt
Lowell,McAdam
Jeff,Immelt
Michael,Johnson
Steve,Schwarzman
Clayton,Cohn
Tim,Mrock
Bob,Diamond
Don,Blandin
Ted,Beck
John,Thain
Joseph,Nacchio
Ken,Lin
Larry,Page
Richard,Grasso
Anand,Nallathambi
Rupert,Murdoch
Lloyd,Blankfein
Mohamed,El-Erian
Richard,Ketchum
Kazuo,Hirai
Fred,Smith
Sheldon,Adelson
Masayoshi,Son
Michael,O'Leary
Sergio,Ermotti
Christian,Laub
David,Drumm
John,Hammergren
Mickey,Arison
Nicholas,Kisberg
George,Zimmer
Doug,Ewert
Bryan,Mistele
Jon,Corzine
Lucas,Duplan
Marc,Benioff
Peter,Schiff
Joel,Horowitz
Travis,Tygart
Eike,Batista
Christine,Day
James,Fox
Richard,Branson
Tom,Joyce
Dan,Porter
Dan,Gilbert
Elon,Musk
Gary,Guthart
Klaus,Kleinfeld
Ron,Johnson
Sandy,Weill
Peter,Newcomb
David,Sadigh
Roger,Ferguson
Barry,Norris
Eddie,Lampert
Philippe,Laffont
Daniel,Nadler
Brian,Moynihan
Michael,Nathanson
Cole,Wilcox
Marissa,Mayer
Brian,Krzanich
Nelson,Peltz
Jamie,Dimon
Mike,Jackson
Steve,Ells
Alan,Silbert
MIchael,Dell
James,Gorman
Tim,Armstrong
Reed,Hastings
Daniel,Loeb
Don,Thompson
Tim,Cook
Julian,Robertson
Terence,Kawaja
Carsten,Schloter
Mark,Zuckerberg
Kevin,Systrom
David,Goldberg
Skiddy,Stade
Yasuchika,Hasegawa
Jim,McNerney
Alan,Mulally
Don,Mattrick
Travis,Kalanick
Steve,Cohen
Donald,Tomnitz
Richard,Dugas
John,McCarvel
Mark,Papa
Dan,Akerson
Steve,Ballmer
Howard,Schultz
Todd,Ruppert
Patrick,Byrne
Michael,Johnson
Steve,Wynn
Hank,Greenberg
Michael,Lynton
Amy,Pascal
Antony,Jenkins
Craig,Pfeiffer
Jeff,Weiner
Angela,Ahrendts
Dave,DeWalt
Sergio,Ermotti
Jamie,Dimon
Limin,Li
Tom,LaSorda
Sandy,Weill
Steve,Jobs
Frank,Bennack Jr.
Bill,Ackman
Mark,Cohen
Ron,Johnson
Jeff,Gomez
Jack,Welch
Mohamed,El-Erian
Steve,Brazier
Bill,Ackman
Michael,Corbat
Richard,Handler
Jamie,Dimon
Brian,Moynihan
David,Einhorn
Tim,Cook
Patti,Hart
Chuck,Mathewson
Rosalind,Brewer
Andrei,Kostin
Dwaine,van Vuuren
Ric,Edelman
Dan,Doctoroff
Richard,Ketchum
Gene,Friedman
Howard,Schultz
Mike,Ullman
Daniel,Baker
Paul,Itellini
James,Gorman
Larry,Ellison
Thor,Halvorssen
Mikhail,Khodorkovsky
Jeff,Bezos
Elon,Musk
James,Gorman
John,Mack
Larry,Page
Reed,Hastings
Dan,Bauer
Tim,Clark
Alan,Mulally
Lance,Roberts
Warren,Buffett
Fred,Laluyaux
Meg,Whiteman
Divya,Narendra
Anthony,Scaramucci
John,Thain
Duncan,Niederauer
Randall,Stephenson
Sergio,Machionne
Robert,Niblock
David,Lenhardt
John,Mulligan
Aleksey,Miller
Howard,Lutnick
Yuriy,Kosyuk
Nick,Black
Niall,Wass
Geoffrey,Brown
Spencer,Rascoff
Stuart,Miler
Kathy,Savitt
Mark,Karpelis
Ginni,Rometty
Michael,Pearson
Skiddy,von Stade
Alaa ,Karam Allah
Satya,Nadella
Mario,Gabelli
,Sheehan
Mark,Zuckerberg
Sunny,Lee
Nick,Hayek
Andy,Mooney
Michael,O'Leary
John,Chambers
Joe,Tucci
Larry,Ellison
Dave,Kennedy
Mark,Hurd
Safra,Catz
Joe,Mansueto
Elizabeth,Holmes
Karen,Barr
Dov,Charney
Emil,Brolick
Lei,Jun
